id,year,questionNumber,createdBy,importBy,answerKeyUpdated,answerKeyUpdatedBy,source
rme_1999_q1,1999,1,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q10,1999,10,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q11,1999,11,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q12,1999,12,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q13,1999,13,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q14,1999,14,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q15,1999,15,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q16,1999,16,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q17,1999,17,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q18,1999,18,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q19,1999,19,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q2,1999,2,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q20,1999,20,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q21,1999,21,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q22,1999,22,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q23,1999,23,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q24,1999,24,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q25,1999,25,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q26,1999,26,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q27,1999,27,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q28,1999,28,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q29,1999,29,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q3,1999,3,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q30,1999,30,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q31,1999,31,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q32,1999,32,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q33,1999,33,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q34,1999,34,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q35,1999,35,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q36,1999,36,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q37,1999,37,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q38,1999,38,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q39,1999,39,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q4,1999,4,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q40,1999,40,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q5,1999,5,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q6,1999,6,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q7,1999,7,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q8,1999,8,"system_import_2024","",false,"","BECE 1999 RME"
rme_1999_q9,1999,9,"system_import_2024","",false,"","BECE 1999 RME"
rme_2000_q1,2000,1,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q10,2000,10,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q11,2000,11,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q12,2000,12,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q13,2000,13,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q14,2000,14,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q15,2000,15,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q16,2000,16,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q17,2000,17,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q18,2000,18,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q19,2000,19,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q2,2000,2,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q20,2000,20,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q21,2000,21,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q22,2000,22,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q23,2000,23,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q24,2000,24,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q25,2000,25,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q26,2000,26,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q27,2000,27,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q28,2000,28,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q29,2000,29,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q3,2000,3,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q30,2000,30,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q31,2000,31,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q32,2000,32,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q33,2000,33,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q34,2000,34,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q35,2000,35,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q36,2000,36,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q37,2000,37,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q38,2000,38,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q39,2000,39,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q4,2000,4,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q40,2000,40,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q5,2000,5,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q6,2000,6,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q7,2000,7,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q8,2000,8,"system_import_2024","",false,"","BECE 2000 RME"
rme_2000_q9,2000,9,"system_import_2024","",false,"","BECE 2000 RME"
rme_2001_q1,2001,1,"system_import_2024","",false,"","BECE 2001 RME"
rme_2001_q10,2001,10,"system_import_2024","",false,"","BECE 2001 RME"
rme_2001_q11,2001,11,"system_import_2024","",false,"","BECE 2001 RME"
rme_2001_q12,2001,12,"system_import_2024","",false,"","BECE 2001 RME"
rme_2001_q13,2001,13,"system_import_2024","",false,"","BECE 2001 RME"
rme_2001_q14,2001,14,"system_import_2024","",false,"","BECE 2001 RME"
rme_2001_q15,2001,15,"system_import_2024","",false,"","BECE 2001 RME"
rme_2001_q16,2001,16,"system_import_2024","",false,"","BECE 2001 RME"
rme_2001_q17,2001,17,"system_import_2024","",false,"","BECE 2001 RME"
